,Reference,Site Type,Latitude,Longitude,DateTime,Altitude,Discharge,Stream Slope,Width,Depth,Flow Velocity,Wind Speed,POC,DOC,TOC,pH,Water Temperature,Air Temperature,DO,Chl a,CO2,k,k600,CO2 Flux,CO2 Flux.1,Source,geometry
0,"Alin and Richey, 2012",small stream,-10.066,-67.606,20040701,150.0,,,,,,0.0,,,,,26.0,28.1,,,140.5,,-18.104,1381.28,,"Alin, S.R., and J.E. Richey. 2012. LBA-ECO CD-06 CO2 Exchange in River Systems Across the Amazon Basin: 2004-2007.",POINT (-67.60599999999999 -10.066)
1,"Alin and Richey, 2012",small stream,-10.066,-67.606,20040701,150.0,,,,,,0.0,,,,,26.0,28.1,,,140.5,,-18.32,1267.75,,"Alin, S.R., and J.E. Richey. 2012. LBA-ECO CD-06 CO2 Exchange in River Systems Across the Amazon Basin: 2004-2007.",POINT (-67.60599999999999 -10.066)
2,"Alin and Richey, 2012",small stream,-10.066,-67.606,20040701,150.0,,,,,,0.0,,,,,26.0,28.1,,,140.5,,-35.512,1449.39,,"Alin, S.R., and J.E. Richey. 2012. LBA-ECO CD-06 CO2 Exchange in River Systems Across the Amazon Basin: 2004-2007.",POINT (-67.60599999999999 -10.066)
3,"Alin and Richey, 2012",small stream,-10.066,-67.606,20040701,150.0,,,,,,0.0,,,,,26.0,28.1,,,140.5,,-20.488,1025.55,,"Alin, S.R., and J.E. Richey. 2012. LBA-ECO CD-06 CO2 Exchange in River Systems Across the Amazon Basin: 2004-2007.",POINT (-67.60599999999999 -10.066)
4,"Alin and Richey, 2012",small stream,-10.066,-67.606,20040701,150.0,,,,,,0.0,,,,,26.0,28.1,,,140.5,,-22.272,1411.55,,"Alin, S.R., and J.E. Richey. 2012. LBA-ECO CD-06 CO2 Exchange in River Systems Across the Amazon Basin: 2004-2007.",POINT (-67.60599999999999 -10.066)
5,"Alin and Richey, 2012",small stream,-9.751,-67.672,20040702,150.0,,,,,,0.3,,,,,24.9,25.1,,,860.3,,3.264,306.15,,"Alin, S.R., and J.E. Richey. 2012. LBA-ECO CD-06 CO2 Exchange in River Systems Across the Amazon Basin: 2004-2007.",POINT (-67.672 -9.750999999999999)
6,"Alin and Richey, 2012",small stream,-9.751,-67.672,20040702,150.0,,,,,,0.3,,,,,24.9,25.1,,,860.3,,2.712,270.2,,"Alin, S.R., and J.E. Richey. 2012. LBA-ECO CD-06 CO2 Exchange in River Systems Across the Amazon Basin: 2004-2007.",POINT (-67.672 -9.750999999999999)
7,"Alin and Richey, 2012",small stream,-9.751,-67.672,20040702,150.0,,,,,,0.3,,,,,24.9,25.1,,,860.3,,3.896,370.11,,"Alin, S.R., and J.E. Richey. 2012. LBA-ECO CD-06 CO2 Exchange in River Systems Across the Amazon Basin: 2004-2007.",POINT (-67.672 -9.750999999999999)
8,"Alin and Richey, 2012",small stream,-9.751,-67.672,20040702,150.0,,,,,,0.3,,,,,24.9,25.1,,,860.3,,3.832,368.21,,"Alin, S.R., and J.E. Richey. 2012. LBA-ECO CD-06 CO2 Exchange in River Systems Across the Amazon Basin: 2004-2007.",POINT (-67.672 -9.750999999999999)
9,"Alin and Richey, 2012",small stream,-9.751,-67.672,20040702,150.0,,,,,,0.3,,,,,24.9,25.1,,,860.3,,8.96,779.57,,"Alin, S.R., and J.E. Richey. 2012. LBA-ECO CD-06 CO2 Exchange in River Systems Across the Amazon Basin: 2004-2007.",POINT (-67.672 -9.750999999999999)
